side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd
short,2025-01-14 21:00:00+00:00,2025-01-14 22:00:00+00:00,3214.78,3230.8539,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-56.715199004974124,SL,10000.0,9943.284800995027,10000.0,6.963955223879825,0.0
short,2025-01-15 00:00:00+00:00,2025-01-15 03:00:00+00:00,3220.12,3236.2205999999996,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-56.393537625156746,SL,9943.284800995027,9886.89126336987,9943.284800995027,6.924459013241418,0.0
short,2025-01-15 04:00:00+00:00,2025-01-15 13:00:00+00:00,3225.0,3241.1249999999995,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-56.07370055425512,SL,9886.89126336987,9830.817562815613,9886.89126336987,6.88518680614764,0.0
short,2025-02-11 10:00:00+00:00,2025-02-11 14:00:00+00:00,2695.31,2661.94,0.012535970006837038,-0.0007086511433482823,0.011827318863488756,116.27221400420567,TRAIL_RSI,9830.817562815613,9947.08977681982,9830.817562815613,6.9666201059376585,0.0
short,2025-02-13 06:00:00+00:00,2025-02-13 15:00:00+00:00,2684.81,2646.27,0.014563895596443333,-0.000710070442840216,0.013853825153603117,137.80524255525484,TRAIL_RSI,9947.08977681982,10084.895019375073,9947.08977681982,7.063134442797835,0.0
short,2025-03-06 12:00:00+00:00,2025-03-06 18:00:00+00:00,2266.61,2200.51,0.030038491077068352,-0.0007209007640387455,0.029317590313029607,295.6648205279512,TRAIL_RSI,10084.895019375073,10380.559839903024,10084.895019375073,7.270208524718029,0.0
short,2025-03-14 23:00:00+00:00,2025-03-15 04:00:00+00:00,1910.79,1920.3439499999997,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-58.87355171031309,SL,10380.559839903024,10321.686288192712,10380.559839903024,7.228975392388978,0.0
short,2025-03-15 05:00:00+00:00,2025-03-15 17:00:00+00:00,1927.47,1937.1073499999998,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-58.53964919017509,SL,10321.686288192712,10263.146639002536,10321.686288192712,7.18797611459084,0.0
short,2025-03-15 18:00:00+00:00,2025-03-15 20:00:00+00:00,1931.59,1941.2479499999997,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-58.20764040482488,SL,10263.146639002536,10204.93899859771,10263.146639002536,7.147209365012638,0.0
short,2025-03-15 23:00:00+00:00,2025-03-16 12:00:00+00:00,1936.27,1880.12,0.02986511499266009,-0.0007207794220180919,0.029144335570642,297.416166653063,TRAIL_RSI,10204.93899859771,10502.355165250774,10204.93899859771,7.355510033139143,0.0
long,2025-03-27 00:00:00+00:00,2025-03-27 13:00:00+00:00,2017.0,2006.915,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-59.82538609303478,SL,10502.355165250774,10442.52977915774,10502.355165250774,7.313610266780865,0.0
long,2025-03-27 14:00:00+00:00,2025-03-27 15:00:00+00:00,2024.81,2014.68595,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-59.48459807312256,SL,10442.52977915774,10383.045181084617,10442.52977915774,7.27194917733382,0.0
long,2025-03-27 21:00:00+00:00,2025-03-27 22:00:00+00:00,2017.3,2007.2134999999998,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-59.14575131062798,SL,10383.045181084617,10323.899429773988,10383.045181084617,7.230525405204844,0.0
short,2025-04-10 06:00:00+00:00,2025-04-10 15:00:00+00:00,1615.54,1534.763,0.05263157894736836,-0.0007367131578945862,0.051894865789473776,535.757375332146,TP,10323.899429773988,10859.656805106135,10323.899429773988,7.6057525506949135,0.0
long,2025-04-22 07:00:00+00:00,2025-04-22 15:00:00+00:00,1618.6,1699.53,0.050000000000000044,-0.0007348713749999458,0.0492651286250001,535.0023893269114,TP,10859.656805106135,11394.659194433047,10859.656805106135,7.980450928395864,0.0
long,2025-05-05 13:00:00+00:00,2025-05-06 05:00:00+00:00,1807.92,1798.8804,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-64.90828723456416,SL,11394.659194433047,11329.750907198482,11394.659194433047,7.934991262398868,0.0
long,2025-05-15 20:00:00+00:00,2025-05-16 11:00:00+00:00,2535.83,2620.0,0.033192288126570046,-0.0007231080356331354,0.03246918009093691,367.8677225912834,TRAIL_RSI,11329.750907198482,11697.618629789766,11329.750907198482,8.192633922717029,0.0
long,2025-05-17 14:00:00+00:00,2025-05-17 16:00:00+00:00,2481.42,2469.0129,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-66.6340587311055,SL,11697.618629789766,11630.98457105866,11697.618629789766,8.145965582156615,0.0
long,2025-05-17 17:00:00+00:00,2025-05-18 17:00:00+00:00,2469.11,2488.59,0.007889482445091467,-0.0007053991712497876,0.007184083273841679,83.55796171525316,TRAIL_RSI,11630.98457105866,11714.542532773912,11630.98457105866,8.204486877243845,0.0
short,2025-05-21 17:00:00+00:00,2025-05-21 19:00:00+00:00,2471.5,2483.8574999999996,-0.004975124378109319,-0.0006963955223879825,-0.005671519900497302,-66.4392610998493,SL,11714.542532773912,11648.103271674063,11714.542532773912,8.157954966647328,0.0
long,2025-05-24 04:00:00+00:00,2025-05-24 21:00:00+00:00,2558.2,2545.4089999999997,-0.0050000000000001155,-0.0006963781124998958,-0.005696378112500011,-66.3520005289039,SL,11648.103271674063,11581.751271145158,11648.103271674063,8.111484170532245,0.0
long,2025-05-30 10:00:00+00:00,2025-05-30 13:00:00+00:00,2621.3,2608.1935000000003,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-65.97403444536917,SL,11581.751271145158,11515.777236699789,11581.751271145158,8.065278089643334,0.0
short,2025-06-24 11:00:00+00:00,2025-06-24 13:00:00+00:00,2408.3,2420.3415,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-65.31195976763796,SL,11515.777236699789,11450.465276932151,11515.777236699789,8.019535704455187,0.0
long,2025-07-04 22:00:00+00:00,2025-07-05 16:00:00+00:00,2519.16,2506.5642,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-65.22617978145641,SL,11450.465276932151,11385.239097150694,11450.465276932151,7.973853396795608,0.0
long,2025-07-22 20:00:00+00:00,2025-07-23 07:00:00+00:00,3706.98,3688.4451,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-64.85462679858733,SL,11385.239097150694,11320.384470352106,11385.239097150694,7.928431312833818,0.0
long,2025-07-23 22:00:00+00:00,2025-07-24 05:00:00+00:00,3609.77,3591.72115,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-64.48519032199751,SL,11320.384470352106,11255.89928003011,11320.384470352106,7.883267970236933,0.0
long,2025-07-24 07:00:00+00:00,2025-07-24 16:00:00+00:00,3589.94,3686.22,0.02681938973910425,-0.0007186477874421282,0.02610074195166212,293.78732254196535,TRAIL_RSI,11255.89928003011,11549.686602572076,11255.89928003011,8.089027113265082,0.0
long,2025-08-16 00:00:00+00:00,2025-08-16 02:00:00+00:00,4474.24,4451.8688,-0.004999999999999893,-0.0006963781124998958,-0.005696378112499789,-65.79138196912362,SL,11549.686602572076,11483.895220602952,11549.686602572076,8.042948956264476,0.0
long,2025-08-16 04:00:00+00:00,2025-08-16 05:00:00+00:00,4452.21,4429.94895,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-65.41660938088486,SL,11483.895220602952,11418.478611222066,11483.895220602952,7.9971332778700575,0.0
long,2025-08-16 12:00:00+00:00,2025-08-17 11:00:00+00:00,4408.0,4549.58,0.032118874773139794,-0.0007223567777789874,0.031396517995360806,358.50046919687605,TRAIL_RSI,11418.478611222066,11776.979080418942,11418.478611222066,8.24821541674066,0.0
short,2025-08-31 14:00:00+00:00,2025-08-31 15:00:00+00:00,4457.0,4479.285,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-66.79337122233774,SL,11776.979080418942,11710.185709196603,11776.979080418942,8.201435498860691,0.0
short,2025-08-31 19:00:00+00:00,2025-09-01 00:00:00+00:00,4453.25,4393.82,0.013525815804926067,-0.0007093439141510061,0.01281647189077506,150.08326597767407,TRAIL_RSI,11710.185709196603,11860.268975174276,11710.185709196603,8.306548966396694,0.0
long,2025-09-15 01:00:00+00:00,2025-09-15 08:00:00+00:00,4616.23,4593.14885,-0.0050000000000000044,-0.0006963781124998958,-0.0056963781124999,-67.56057659854437,SL,11860.268975174276,11792.708398575733,11860.268975174276,8.259231722672936,0.0
long,2025-09-15 21:00:00+00:00,2025-09-16 10:00:00+00:00,4522.05,4499.4397500000005,-0.004999999999999893,-0.0006963781124998958,-0.005696378112499789,-67.17572600873925,SL,11792.708398575733,11725.532672566993,11792.708398575733,8.212184015861837,0.0
short,2025-09-27 13:00:00+00:00,2025-09-28 13:00:00+00:00,4018.41,4011.74,0.001662620209684551,-0.0007010411304757547,0.0009615790792087964,11.275026910519626,TRAIL_RSI,11725.532672566993,11736.807699477513,11725.532672566993,8.220080680206761,0.0
short,2025-09-29 06:00:00+00:00,2025-09-29 08:00:00+00:00,4095.37,4115.84685,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-66.56553843589796,SL,11736.807699477513,11670.242161041615,11736.807699477513,8.173460329044937,0.0
short,2025-09-29 10:00:00+00:00,2025-09-29 13:00:00+00:00,4114.38,4134.9519,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-66.18801065997145,SL,11670.242161041615,11604.054150381644,11670.242161041615,8.127104386132833,0.0
long,2025-10-08 08:00:00+00:00,2025-10-08 14:00:00+00:00,4473.13,4450.76435,-0.004999999999999893,-0.0006963781124998958,-0.005696378112499789,-66.10108007849634,SL,11604.054150381644,11537.953070303147,11604.054150381644,8.080809326589351,0.0
short,2025-10-13 05:00:00+00:00,2025-10-13 06:00:00+00:00,4129.99,4150.63995,-0.00497512437810943,-0.0006963955223879825,-0.005671519900497413,-65.43773044922952,SL,11537.953070303147,11472.515339853917,11537.953070303147,8.034978855681787,0.0
