side,entry_time,exit_time,entry_price,exit_price,gross_ret,fee_ret,net_ret,pnl,reason,capital_before,capital_after,position_notional,fee_usd,slippage_usd,window_id
long,2025-06-01 20:00:00+00:00,2025-06-02 00:00:00+00:00,2539.21,2526.51395,-0.0050000000000000044,-0.0013925124500000496,-0.006392512450000054,-63.92512450000054,SL,10000.0,9936.074875499999,10000.0,13.925124500000496,0.0,4
long,2025-06-02 12:00:00+00:00,2025-06-03 20:00:00+00:00,2544.39,2593.36,0.019246263347993064,-0.0014264453380181674,0.017819818009974897,177.05904601489397,TRAIL_RSI,9936.074875499999,10113.133921514893,9936.074875499999,14.173267684356416,0.0,4
long,2025-06-09 08:00:00+00:00,2025-06-09 20:00:00+00:00,2541.79,2668.8795,0.050000000000000044,-0.001469485500000145,0.0485305144999999,490.79559241851933,TP,10113.133921514893,10603.929513933412,10113.133921514893,14.861103657225739,0.0,4
short,2025-06-27 04:00:00+00:00,2025-06-29 08:00:00+00:00,2442.31,2454.5215499999995,-0.004975124378109319,-0.0013925472636816538,-0.006367671641790973,-67.52234125742412,SL,10603.929513933412,10536.407172675988,10603.929513933412,14.766473028901101,0.0,6
long,2025-08-03 16:00:00+00:00,2025-08-04 12:00:00+00:00,3496.74,3636.6096,0.040000000000000036,-0.0014554904000001478,0.03854450959999989,406.1206474167173,TP,10536.407172675988,10942.527820092706,10536.407172675988,15.3356394903226,0.0,8
long,2025-08-20 12:00:00+00:00,2025-08-21 16:00:00+00:00,4255.9,4234.6205,-0.004999999999999893,-0.0013925124500000496,-0.006392512449999943,-69.95024532441336,SL,10942.527820092706,10872.577574768293,10942.527820092706,15.237606223950996,0.0,10
long,2025-08-31 00:00:00+00:00,2025-08-31 04:00:00+00:00,4488.12,4465.6794,-0.0050000000000000044,-0.0013925124500000496,-0.006392512450000054,-69.5030875102977,SL,10872.577574768293,10803.074487257994,10872.577574768293,15.140199636456193,0.0,10
short,2025-11-28 20:00:00+00:00,2025-12-01 00:00:00+00:00,3031.15,2909.904,0.04166666666666674,-0.001457822916666629,0.04020884375000011,434.37913407776927,TP,10803.074487257994,11237.453621335764,10803.074487257994,15.748969557981297,0.0,17
short,2025-12-05 08:00:00+00:00,2025-12-08 20:00:00+00:00,3131.38,3124.16,0.002311021202499264,-0.0014027442972832649,0.0009082769052159989,10.206719597695168,FORCE_EXIT_END,11237.453621335764,11247.66034093346,11237.453621335764,15.763273983313917,0.0,17
long,2026-01-11 00:00:00+00:00,2026-01-12 04:00:00+00:00,3096.78,3135.34,0.012451643319835393,-0.0014169361993425778,0.011034707120492815,124.11463765298309,TRAIL_RSI,11247.66034093346,11371.774978586443,11247.66034093346,15.9372170949785,0.0,20
long,2026-01-13 00:00:00+00:00,2026-01-13 20:00:00+00:00,3116.14,3271.947,0.050000000000000044,-0.001469485500000145,0.0485305144999999,551.8780904890255,TP,11371.774978586443,11923.65306907547,11371.774978586443,16.710658440297237,0.0,20
short,2026-03-14 04:00:00+00:00,2026-03-14 20:00:00+00:00,2077.46,2087.8473,-0.00497512437810943,-0.0013925472636816538,-0.006367671641791084,-75.92590751450709,SL,11923.65306907547,11847.727161560962,11923.65306907547,16.6042504544304,0.0,24
short,2026-03-15 12:00:00+00:00,2026-03-15 16:00:00+00:00,2093.79,2104.25895,-0.00497512437810943,-0.0013925472636816538,-0.006367671641791084,-75.44243626634972,SL,11847.727161560962,11772.284725294612,11847.727161560962,16.498520039678525,0.0,24
long,2026-03-23 08:00:00+00:00,2026-03-24 16:00:00+00:00,2134.78,2124.1061,-0.0050000000000001155,-0.0013925124500000496,-0.006392512450000165,-75.25447667139258,SL,11772.284725294612,11697.03024862322,11772.284725294612,16.39305304491816,0.0,25
