window_id,live_start,live_end,best_tp,best_sl,best_trail,best_ema_len,best_tma_lmin,best_tma_lmax,best_tma_hmin,best_tma_hmax,opt_score,opt_return_pct,opt_pf,opt_max_dd_pct,opt_n_trades,live_return_pct,live_final_cap,n_trades_live
0,2025-04-01 00:00:00+00:00,2025-04-14 23:00:00+00:00,0.035,0.01,3.0,200,30.0,45.0,55.0,70.0,-0.6119498377660104,4.737443097167837,2.3663980049777553,-2.244589880576413,7,3.4819160621761824,10348.191606217619,1
1,2025-04-15 00:00:00+00:00,2025-04-28 23:00:00+00:00,0.05,0.005,3.0,200,30.0,45.0,55.0,70.0,15.313626490606483,10.328445525527163,4.1836738160072375,-1.8981631390483926,10,0.0,10348.191606217619,0
2,2025-04-29 00:00:00+00:00,2025-05-12 23:00:00+00:00,0.05,0.0075,3.0,200,30.0,45.0,55.0,70.0,18.813978059103448,11.905742698812215,7.424053965945778,-1.758849459993988,7,0.0,10348.191606217619,0
3,2025-05-13 00:00:00+00:00,2025-05-26 23:00:00+00:00,0.05,0.0075,3.0,200,30.0,45.0,55.0,70.0,16.13177549336259,10.675154970489341,6.824103867123091,-1.7588494599939688,6,1.3485433786131207,10487.741458929466,3
4,2025-05-27 00:00:00+00:00,2025-06-09 23:00:00+00:00,0.04,0.005,3.0,200,30.0,45.0,55.0,70.0,23.19386910759599,14.19386910759599,5.1757807558940625,-1.8981631390483877,10,-0.6392512449999943,10420.698441080878,1
5,2025-06-10 00:00:00+00:00,2025-06-23 23:00:00+00:00,0.04,0.005,3.0,200,30.0,45.0,55.0,70.0,15.39463519945209,10.30937265581915,3.568172870561246,-1.8981631390483744,10,0.0,10420.698441080878,0
6,2025-06-24 00:00:00+00:00,2025-07-07 23:00:00+00:00,0.04,0.005,3.0,200,30.0,45.0,55.0,70.0,12.917044166446844,9.335992926074944,5.451122177029323,-1.27441606845768,6,-1.271947867154355,10288.152589516963,2
7,2025-07-08 00:00:00+00:00,2025-07-21 23:00:00+00:00,0.04,0.005,3.0,200,30.0,45.0,55.0,70.0,8.477439337224034,7.945296096019705,3.277800586125977,-2.5301540276106085,8,0.0,10288.152589516963,0
8,2025-07-22 00:00:00+00:00,2025-08-04 23:00:00+00:00,0.04,0.01,3.0,200,30.0,45.0,55.0,70.0,-9.125387003676167,-1.2881961584952695,0.7209363849397006,-4.467463417715335,6,1.5030408095644265,10442.787721487663,3
9,2025-08-05 00:00:00+00:00,2025-08-18 23:00:00+00:00,0.04,0.005,3.0,200,30.0,45.0,55.0,70.0,0.8129642842453251,6.399112499191917,2.3685578059119115,-3.7723254065836866,10,1.753933374010308,10625.947260511884,3
