window_id,live_start,live_end,best_tp,best_sl,best_trail,best_ema_len,opt_score,live_return_pct,live_final_cap,n_trades_live
0,2025-04-01 00:00:00+00:00,2025-04-14 23:30:00+00:00,0.04,0.01,3.0,150,12.674877065943233,1.4727888336311556,10147.278883363115,5
1,2025-04-15 00:00:00+00:00,2025-04-28 23:30:00+00:00,0.04,0.01,3.0,150,9.662180605563073,1.357907036652306,10285.069497349035,1
2,2025-04-29 00:00:00+00:00,2025-05-12 23:30:00+00:00,0.04,0.01,3.0,150,13.011987033980407,0.09327209337768316,10294.662596974562,3
3,2025-05-13 00:00:00+00:00,2025-05-26 23:30:00+00:00,0.04,0.0075,3.0,200,10.62488326020652,2.987783033518454,10602.244779404939,6
4,2025-05-27 00:00:00+00:00,2025-06-09 23:30:00+00:00,0.05,0.005,6.0,200,14.228232717683312,-0.5961854875166317,10539.035734679137,7
5,2025-06-10 00:00:00+00:00,2025-06-23 23:30:00+00:00,0.05,0.0075,6.0,200,12.756376223674835,2.3750458438900335,10789.342664881719,7
6,2025-06-24 00:00:00+00:00,2025-07-07 23:30:00+00:00,0.05,0.01,6.0,200,15.933835139088039,-1.273871782789715,10651.900273125299,4
7,2025-07-08 00:00:00+00:00,2025-07-21 23:30:00+00:00,0.05,0.01,6.0,200,15.568826991844636,1.8901665313898697,10853.238927044938,3
8,2025-07-22 00:00:00+00:00,2025-08-04 23:30:00+00:00,0.05,0.0075,6.0,200,13.851400549023356,-1.2394954258933333,10718.713526982941,7
9,2025-08-05 00:00:00+00:00,2025-08-18 23:30:00+00:00,0.05,0.0075,6.0,200,10.739478446400115,2.209991509550724,10955.596185862329,2
10,2025-08-19 00:00:00+00:00,2025-09-01 23:30:00+00:00,0.05,0.01,5.0,200,8.407696317255093,0.0,10955.596185862329,0
11,2025-09-02 00:00:00+00:00,2025-09-15 23:30:00+00:00,0.05,0.01,5.0,200,8.741208374131435,1.0566190972615574,11071.355107381009,4
12,2025-09-16 00:00:00+00:00,2025-09-29 23:30:00+00:00,0.05,0.01,5.0,200,13.771064904687703,0.645958755400522,11142.871495038618,1
13,2025-09-30 00:00:00+00:00,2025-10-13 23:30:00+00:00,0.035,0.0075,3.0,200,9.525884467836665,0.08304282994699985,11152.124850865455,3
14,2025-10-14 00:00:00+00:00,2025-10-27 23:30:00+00:00,0.035,0.005,6.0,50,11.512157167822826,-0.6367671641791084,11081.111781706886,1
15,2025-10-28 00:00:00+00:00,2025-11-10 23:30:00+00:00,0.035,0.005,6.0,50,8.118210265204691,-0.6367671641790973,11010.550900454995,1
16,2025-11-11 00:00:00+00:00,2025-11-24 23:30:00+00:00,0.035,0.005,6.0,50,6.745339221764687,-0.10656436708006423,10998.817576575897,1
17,2025-11-25 00:00:00+00:00,2025-12-08 23:30:00+00:00,0.035,0.005,6.0,50,6.376396465223315,-1.2694796041444412,10859.189830744212,2
18,2025-12-09 00:00:00+00:00,2025-12-22 23:30:00+00:00,0.035,0.01,3.0,50,-11.548093856939683,-0.11588262326988064,10846.605916702489,1
19,2025-12-23 00:00:00+00:00,2026-01-05 23:30:00+00:00,0.035,0.01,3.0,50,-11.689392619347775,0.0,10846.605916702489,0
20,2026-01-06 00:00:00+00:00,2026-01-19 23:30:00+00:00,0.035,0.01,3.0,50,-11.578580310587544,0.0,10846.605916702489,0
21,2026-01-20 00:00:00+00:00,2026-02-02 23:30:00+00:00,0.035,0.01,3.0,100,3.223859859601947,0.5584957900969245,10907.183754115676,4
22,2026-02-03 00:00:00+00:00,2026-02-16 23:30:00+00:00,0.035,0.01,3.0,100,8.025567490260354,4.965161816687957,11448.74307715102,2
23,2026-02-17 00:00:00+00:00,2026-03-02 23:30:00+00:00,0.035,0.01,3.0,100,11.249821336357183,-0.2375545740116336,11421.546064304408,2
24,2026-03-03 00:00:00+00:00,2026-03-16 23:30:00+00:00,0.035,0.01,3.0,100,9.904525870415224,-2.264139985046232,11162.946272952018,2
25,2026-03-17 00:00:00+00:00,2026-03-30 23:30:00+00:00,0.035,0.01,5.0,50,7.20855897530927,0.0,11162.946272952018,0
